Date,VIX,VIX_change,regime,TLT_ret,GLD_ret,SPY_ret
2004-11-19,13.5,0.5200004577636719,2,-0.0080112743301325,0.0089726423386629,-0.01117918460885
2004-11-22,12.970000267028809,-0.5299997329711914,2,0.005198234672623,0.003789193980097,0.0047576059112579
2004-11-23,12.670000076293944,-0.3000001907348633,2,0.0012393995118116,-0.0044593331698338,0.0015245960071599
2004-11-24,12.720000267028809,0.0500001907348632,2,0.0,0.0066815223980893,0.0023671630125183
2004-11-26,12.779999732971191,0.0599994659423828,2,-0.0065509862148709,0.0053133106639475,-0.0007604431034548
2004-11-29,13.300000190734863,0.5200004577636719,2,-0.0107093437481167,0.002425860874068,-0.0045730254678059
2004-11-30,13.239999771118164,-0.0600004196166992,2,-0.0042465319191404,-0.0061865551399328,0.0006788735090938
2004-12-01,12.970000267028809,-0.2699995040893554,2,-0.0015612303171832,0.0057459193717949,0.0113023235609114
2004-12-02,12.979999542236328,0.0099992752075195,2,-0.0040562111346413,-0.0095207249981332,0.0008381116559986
2004-12-03,12.960000038146973,-0.0199995040893554,2,0.0154436369143827,0.0143569051673848,-0.0006706787693129
2004-12-06,13.1899995803833,0.2299995422363281,2,0.0034252113929457,-0.0094745739285356,-0.000335366371056
2004-12-07,13.670000076293944,0.4800004959106445,2,0.0012523806692714,-0.001329144178949,-0.0093540716727502
2004-12-08,13.1899995803833,-0.4800004959106445,2,0.0154743822049616,-0.0246871222659039,0.0058247320431361
2004-12-09,12.880000114440918,-0.3099994659423828,2,-0.0066350578116989,-0.0052397784726441,0.0035293396296141
2004-12-10,12.760000228881836,-0.119999885559082,2,0.0024795237005802,-0.007796420199884,0.001006045140369
2004-12-13,12.539999961853027,-0.2200002670288086,2,0.0021368409734253,0.0107614370864453,0.0086777622952208
2004-12-14,12.729999542236328,0.1899995803833007,2,0.0039228744786367,-0.0082323953188014,0.003482999993162
2004-12-15,12.350000381469728,-0.3799991607666015,2,0.0090204444096492,0.010052687736462,0.0007449944922203
